RH_mod1;Temperature_mod1;TGS4161_mod1;MICS2714_mod1;TGS2442_mod1;MICS5524_mod1;TGS2602_mod1;TGS2620_mod1;RH_mod2;Temperature_mod2;TGS4161_mod2;MICS2714_mod2;TGS2442_mod2;MICS5524_mod2;TGS2602_mod2;TGS2620_mod2;Activity;Label
36.699;24.99;0.595;0.208;872.685;0.239;0.465;1.275;36.972;24.27;0.306;0.235;666.667;0.259;0.397;1.176;AS1;4
36.563;24.98;0.595;0.208;879.63;0.238;0.465;1.274;36.947;24.27;0.305;0.235;673.611;0.259;0.397;1.176;AS1;4
36.707;24.96;0.595;0.207;793.981;0.239;0.465;1.273;36.752;24.28;0.305;0.234;761.574;0.259;0.398;1.176;AS1;4
36.618;24.97;0.595;0.207;782.407;0.239;0.465;1.273;36.867;24.27;0.305;0.235;678.241;0.259;0.398;1.176;AS1;4
36.841;24.97;0.595;0.206;800.926;0.239;0.465;1.273;36.739;24.27;0.306;0.235;680.555;0.259;0.398;1.175;AS1;4
36.674;24.98;0.595;0.207;888.889;0.239;0.465;1.273;36.854;24.27;0.306;0.234;754.63;0.259;0.398;1.176;AS1;4
36.757;25.03;0.595;0.208;884.259;0.239;0.465;1.273;36.895;24.32;0.306;0.234;759.259;0.259;0.398;1.178;AS1;4
36.894;25.06;0.595;0.208;803.241;0.239;0.465;1.273;37.22;24.34;0.306;0.234;680.555;0.259;0.396;1.179;AS1;4
36.819;25.11;0.595;0.207;875.0;0.239;0.467;1.273;37.209;24.34;0.305;0.234;696.759;0.259;0.396;1.181;AS1;4
36.906;25.09;0.595;0.207;805.556;0.24;0.466;1.273;37.646;24.32;0.306;0.234;775.463;0.259;0.396;1.183;AS1;4
37.438;25.04;0.595;0.207;805.556;0.242;0.465;1.275;38.282;24.29;0.305;0.235;710.648;0.262;0.395;1.185;AS1;4
38.062;25.02;0.594;0.208;902.778;0.241;0.463;1.275;38.692;24.33;0.306;0.236;768.518;0.262;0.394;1.188;AS1;4
37.785;25.06;0.594;0.208;817.13;0.241;0.464;1.276;37.676;24.37;0.305;0.236;715.278;0.261;0.396;1.188;AS1;4
37.273;25.08;0.594;0.208;898.148;0.241;0.465;1.277;37.377;24.41;0.305;0.236;789.352;0.259;0.396;1.189;AS1;4
36.958;25.03;0.594;0.208;819.444;0.24;0.465;1.278;36.875;24.37;0.306;0.236;800.926;0.259;0.398;1.186;AS1;4
36.868;25.02;0.594;0.208;891.204;0.239;0.465;1.277;36.794;24.36;0.305;0.236;724.537;0.259;0.398;1.185;AS1;4
36.731;24.98;0.594;0.208;875.0;0.239;0.465;1.277;36.667;24.38;0.306;0.236;726.852;0.259;0.398;1.183;AS1;4
36.787;24.98;0.594;0.208;798.611;0.239;0.465;1.278;36.541;24.4;0.305;0.236;814.815;0.259;0.398;1.183;AS1;4
36.833;25.0;0.594;0.208;789.352;0.241;0.466;1.278;36.637;24.43;0.306;0.236;807.87;0.259;0.398;1.183;AS1;4
37.245;24.99;0.595;0.208;854.167;0.239;0.465;1.277;36.623;24.41;0.306;0.235;743.056;0.258;0.398;1.183;AS1;4
37.102;25.02;0.594;0.208;789.352;0.239;0.465;1.277;36.704;24.42;0.306;0.235;824.074;0.259;0.398;1.182;AS1;4
36.639;25.09;0.594;0.208;791.667;0.239;0.465;1.277;36.685;24.44;0.306;0.235;821.759;0.259;0.398;1.181;AS1;4
36.614;25.06;0.594;0.208;877.315;0.239;0.465;1.277;36.592;24.46;0.305;0.235;743.056;0.259;0.398;1.182;AS1;4
36.592;25.06;0.594;0.208;898.148;0.239;0.465;1.277;36.499;24.45;0.306;0.235;736.111;0.259;0.398;1.183;AS1;4
36.725;25.05;0.594;0.208;835.648;0.239;0.465;1.277;36.729;24.42;0.305;0.235;796.296;0.259;0.399;1.183;AS1;4
37.001;25.01;0.595;0.207;916.667;0.239;0.465;1.277;36.713;24.37;0.306;0.235;789.352;0.259;0.399;1.183;AS1;4
36.7;25.01;0.594;0.207;847.222;0.239;0.465;1.278;36.734;24.35;0.305;0.235;710.648;0.259;0.399;1.183;AS1;4
36.775;24.97;0.594;0.207;856.481;0.239;0.464;1.278;36.697;24.34;0.305;0.235;696.759;0.259;0.399;1.183;AS1;4
